title,genres,actors,directors,synopsis,rating
Smurfs,"Animation, Family, Fantasy","Rihanna, James Corden, Nick Offerman",Chris Miller,"When Papa Smurf is mysteriously taken by evil wizards, Razamel and Gargamel, Smurfette leads the Smurfs on a mission into the real world to save him. With the help of new friends, the Smurfs must discover what defines their destiny to save the universe.",6.117
Legends of the Condor Heroes: The Gallants,"Action, Drama, History","Xiao Zhan, Sabrina Zhuang, Tony Leung Ka-fai",Tsui Hark,"Under Genghis Khan, the Mongolian army pushes west to destroy the Jin Dynasty, setting its sights on the Song Dynasty next. Amid internal conflicts among martial arts schools, Guo Jing unites the Central Plains' warriors to defend Xiangyang, embodying courage and loyalty in the fight for the nation.",6.633
Weapons,"Horror, Mystery","Julia Garner, Josh Brolin, Alden Ehrenreich",Zach Cregger,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",7.6
The Pickup,"Action, Comedy, Crime","Eddie Murphy, Pete Davidson, Keke Palmer",Tim Story,A routine cash pickup takes a wild turn when mismatched armored truck drivers Russell and Travis are ambushed by ruthless criminals led by savvy mastermind Zoe.,6.506
Night Carnage,"Action, Horror, Romance","Sadie Katz, Christian Howard, Mike Ferguson",Thomas J. Churchill,A blogger who is also a werewolf meets a dashing playboy with a dark secret of his own. Starring Logan Andrews and Christian Howard.,5.925
The Fantastic 4: First Steps,"Science Fiction, Adventure","Pedro Pascal, Vanessa Kirby, Ebon Moss-Bachrach",Matt Shakman,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",7.244
Ne Zha 2,"Animation, Fantasy, Adventure, Action","Lu Yanting, Joseph, Han Mo",Yang Yu,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",8.0
Lilo & Stitch,"Family, Science Fiction, Comedy, Adventure","Maia Kealoha, Sydney Agudong, Chris Sanders",Dean Fleischer Camp,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,7.32
KPop Demon Hunters,"Animation, Music, Action, Fantasy, Comedy","Arden Cho, May Hong, Ji-young Yoo","Chris Appelhans, Maggie Kang","When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",8.415
Rob1n,"Horror, Thriller","Ethan Taylor, Leona Clarke, Simon Davies",Lawrence Fowler,"When a robotics expert channels the grief of losing his 11 year-old son into building 'Robin', a fully functioning robotic doll, a series of horrific events makes it clear Robin will do whatever it takes to have his creator all to himself.",5.158
Creation of the Gods II: Demon Force,"Action, Fantasy, War","Huang Bo, Yu Shi, Nashi",Wuershan,"Taishi Wen Zhong led the army of Shang Dynasty including Deng Chanyu and four generals of the Mo Family to Xiqi. With the help of Kunlun immortals such as Jiang Ziya, Ji Fa led the army and civilians of Xiqi to defend their homeland.",6.286
Murder Company,"War, Action","Kelsey Grammer, William Moseley, Joe Anderson",Shane Dax Taylor,"In the midst of the D-Day invasion, a group of US soldiers are given orders to smuggle a member of the French Resistance behind enemy lines to assassinate a high-value Nazi target.",5.667
M3GAN 2.0,"Action, Science Fiction, Thriller","Allison Williams, Violet McGraw, Amie Donald",Gerard Johnstone,"After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal.",7.581
My Oxford Year,"Romance, Comedy, Drama","Sofia Carson, Corey Mylchreest, Esmé Kingdom",Iain Morris,An ambitious American fulfilling her dream of studying at Oxford falls for a charming Brit hiding a secret that may upend her perfectly planned life.,7.23
Shadow of God,Horror,"Mark O'Brien, Shaun Johnston, Jacqueline Byers",Michael Peterson,"While performing an unauthorized exorcism on his father, an elite exorcist suspects the entity he's doing battle with might be a holy being – perhaps even God.",5.796
Popeye's Revenge,Horror,"Steven Murphy, Emily Mogilner, Connor Powles",William Stead,The legend of Popeye haunts a group of counsellors as they intend to open a summer camp.,5.2
Karate Kid: Legends,"Action, Adventure, Drama","Jackie Chan, Ben Wang, Joshua Jackson",Jonathan Entwistle,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",7.151
Night Always Comes,"Thriller, Drama, Crime","Vanessa Kirby, Jennifer Jason Leigh, Zack Gottsagen",Benjamin Caron,"Facing eviction in a city her family can no longer afford, a woman plunges into a desperate and increasingly dangerous all-night search to raise $25,000.",6.032
Shaman,Horror,"Sara Canning, Daniel Gillies, Jett Klyne",Antonio Negret,A Missionary converting an Indigenous Community in a remote Ecuadorian volcano must come to terms with her own Faith when her son is possessed by dark forces older than her own religion.,6.0
28 Years Later,"Horror, Thriller, Science Fiction","Jodie Comer, Alfie Williams, Aaron Taylor-Johnson",Danny Boyle,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",6.8
Ballerina,"Action, Thriller, Crime","Ana de Armas, Keanu Reeves, Ian McShane",Len Wiseman,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",7.421
Ice Road: Vengeance,"Action, Thriller, Drama","Liam Neeson, Fan Bingbing, Marcus Thomas",Jonathan Hensleigh,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",6.848
xXx,"Action, Adventure, Thriller, Crime","Vin Diesel, Asia Argento, Marton Csokas",Rob Cohen,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",5.958
Victoria,Action,"Shayna Bofill, Andrei Kopilov, Antoni Corone",Juan C. Bofill,"Victoria is a woman betrayed, now on a mission for revenge and destroying anything that gets in her way.",8.5
Dirty Ice Cream,Drama,"Christy Imperial, Jem Milton, Candy Veloso",Mervyn Brondial,"Villagers are experiencing an extreme heat. Two hot ice cream vendors come to the village to sell ice cream. With electricity out, the women of the subdivision take turns having the vendors satisfy their every needs.",5.25
Eddington,"Western, Comedy, Crime","Joaquin Phoenix, Pedro Pascal, Luke Grimes",Ari Aster,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.",6.561
Final Destination Bloodlines,"Horror, Mystery","Kaitlyn Santa Juana, Teo Briones, Rya Kihlstedt","Adam B. Stein, Zach Lipovsky","Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",7.163
Marriage Unplugged,"Science Fiction, Comedy, Drama","Nikki Amuka-Bird, Nicholas Gleaves, Sven Ironside","Florine Nüesch, Kim Nüesch","Unhappy in their marriage, Suzanna and Andrew buy a male sex robot called James, who consequently uncovers the deep fractures in their relationship.",7.0
Site,"Science Fiction, Thriller, Horror","Arielle Kebbel, Theo Rossi, Jake McLaughlin",Jason Eric Perlman,"After a terrifying encounter at an abandoned government test site, a small town family man begins seeing haunting visions of a past that threatens to destroy his present.",6.3
"Yours, Mine & Ours","Comedy, Family, Romance","Dennis Quaid, Rene Russo, Sean Faris",Raja Gosnell,"Admiral Frank Beardsley returns to New London to run the Coast Guard Academy, his last stop before a probable promotion to head the Guard. A widower with eight children, he runs a loving but tight ship, with charts and salutes. The kids long for a permanent home. Helen North is a free spirit, a designer whose ten children live in loving chaos, with occasional group hugs. Helen and Frank, high school sweethearts, reconnect at a reunion, and it's love at first re-sighting. They marry on the spot. Then the problems start as two sets of kids, the free spirits and the disciplined preppies, must live together. The warring factions agree to work together to end the marriage.",6.177
Final Destination Bloodlines,"Horror, Mystery","Kaitlyn Santa Juana, Teo Briones, Rya Kihlstedt","Adam B. Stein, Zach Lipovsky","Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",7.163
Site,"Science Fiction, Thriller, Horror","Arielle Kebbel, Theo Rossi, Jake McLaughlin",Jason Eric Perlman,"After a terrifying encounter at an abandoned government test site, a small town family man begins seeing haunting visions of a past that threatens to destroy his present.",6.3
Bride Hard,"Action, Comedy","Rebel Wilson, Anna Camp, Anna Chlumsky",Simon West,"Sam is a secret agent whose toughest mission to date is pleasing her bride-to-be best friend at a lavish destination wedding. When a team of mercenaries crashes the party and takes the guests hostage, Sam is thrown into a fight unlike any before — one where she can’t risk blowing her cover or ruining the big day. As she takes on the bad guys in a high-stakes battle disguised as a fairy-tale affair, she realizes the real threat might be closer than she thinks.",5.6
Thunderbolts*,"Action, Science Fiction, Adventure","Florence Pugh, Sebastian Stan, Julia Louis-Dreyfus",Jake Schreier,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",7.4
Laila,"Comedy, Romance","Vishwak Sen, Akanksha Sharma, Babloo Prithiveeraj",Ram Narayan,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",5.8
F1,"Action, Drama","Brad Pitt, Damson Idris, Javier Bardem",Joseph Kosinski,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,7.626
Freakier Friday,"Comedy, Fantasy, Family","Lindsay Lohan, Jamie Lee Curtis, Julia Butters",Nisha Ganatra,"Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.",6.755
Nobody 2,"Action, Thriller","Bob Odenkirk, Connie Nielsen, Christopher Lloyd",Timo Tjahjanto,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",7.5
Phantom,"Action, Thriller, Crime","Sul Kyung-gu, Lee Hanee, Park So-dam",Lee Hae-young,"In 1933, when Korea was under Japanese occupation, five people in Gyeongseong are suspected to be ""Phantom"" spies of the anti-Japanese organization.",6.914
Stepmom's Desire,"Drama, Romance","Lee Soo, Tae Hee, James",Lee Dong-Joon,"Sang-jin, who was envious of her neighbor after getting a beautiful wife, Ask your wife's friend Gian to take over the son's extracurricular teacher, Sang-jin, who left work early, accidentally sees Gian's shower. A man who wants to have sex with his son's tutor, And a son who wants to have a good time with a young stepmom, Ji-an and Jin-hee, who want money, are disappointed with her husband, and Bin-jin gives her body to a young son.",7.138
Bring Her Back,Horror,"Billy Barratt, Sally Hawkins, Mischa Heywood","Michael Philippou, Danny Philippou","Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.",7.436
Guns Up,"Action, Comedy, Crime","Kevin James, Christina Ricci, Luis Guzmán",Edward Drake,"When a job goes horribly wrong, an ex-cop and family man who moonlights as a mob henchman has one night to get his family out of the city.",6.831
Man with No Past,"Action, Drama","Jon Voight, Adam Woodward, Marton Csokas",James Bamford,"Waking up in an unfamiliar city, a man with no memory must confront the mysteries of his own identity. However, his desperate search to uncover the past pits him against a powerful enemy, leading to a showdown that ultimately reveals the truth.",6.6
The Bad Guys 2,"Animation, Family, Comedy, Crime, Adventure","Sam Rockwell, Marc Maron, Craig Robinson",Pierre Perifel,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",7.506
Ne Zha,"Animation, Fantasy, Adventure","Lu Yanting, Joseph, Han Mo",Yang Yu,"A young boy is born as the reincarnation of a demonic power, into a society that hates and fears him. Destined by prophecy to bring destruction to the world, Nezha must choose between good and evil to see if he can change his fate.",7.915
A Minecraft Movie,"Family, Fantasy, Comedy, Adventure, Action","Jason Momoa, Jack Black, Sebastian Eugene Hansen",Jared Hess,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",6.4
Skin. Like. Sun.,Romance,"Wim van Damme, Floor Wyns","Jennifer Lyon Bell, Murielle Scherre","Real-life young couple Wim and Floor spend an afternoon in the sunwashed rooms of a crumbling home in Belgium. In a unique twist, this artistic erotic documentary is edited in nearly real-time. In the slowness, we get the build, the sweetness, and the sexiness. Forget about fingersnapping fast editing. Slow is where it’s at.",6.014
Jokōsei torio: seikan shiken,"Romance, Drama","Kei Ogawa, Asami Morikawa, Nana Asada",Nobuaki Shirai,"Three high school girls. One is experienced, one has fantasies and one is curious. What more will they learn before graduation?",6.6
Abraham's Boys,Horror,"Titus Welliver, Jocelin Donahue, Brady Hepner",Natasha Kermani,"Max and Rudy Van Helsing have spent their lives under the strict and overprotective rule of their father, Abraham. Unaware of his dark past, they struggle to understand his paranoia and increasingly erratic behavior. But when they begin to uncover the violent truths behind their father’s history with Dracula, their world unravels, forcing them to confront the terrifying legacy they were never meant to inherit.",5.143
Materialists,"Romance, Drama","Dakota Johnson, Chris Evans, Pedro Pascal",Celine Song,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex.",6.71
Night,Animation,"Hiam Abbass, Rafia Aridi, Salma Saleh",Ahmad Saleh,Night has to trick the mother of the missing child into sleeping to save her soul.,10.0
A Working Man,"Action, Crime, Thriller","Jason Statham, Jason Flemyng, Merab Ninidze",David Ayer,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",6.706
Guns Up,"Action, Comedy, Crime","Kevin James, Christina Ricci, Luis Guzmán",Edward Drake,"When a job goes horribly wrong, an ex-cop and family man who moonlights as a mob henchman has one night to get his family out of the city.",6.831
Abraham's Boys,Horror,"Titus Welliver, Jocelin Donahue, Brady Hepner",Natasha Kermani,"Max and Rudy Van Helsing have spent their lives under the strict and overprotective rule of their father, Abraham. Unaware of his dark past, they struggle to understand his paranoia and increasingly erratic behavior. But when they begin to uncover the violent truths behind their father’s history with Dracula, their world unravels, forcing them to confront the terrifying legacy they were never meant to inherit.",5.143
Borders of Love,"Drama, Romance","Hana Vagnerová, Matyáš Řezníček, Eliška Křenková",Tomasz Wiński,"After years together, Petr and Hana, partners in work and in life, share their unspoken erotic fantasies. What begins as an innocent conversation gradually turns into curious experimentation with a non-monogamous approach to their relationship. But sexual freedom tastes differently for each of them. Without resorting to exploitation, Tomasz Wiński’s feature debut considers questions that are taboo for many couples. Borders of Love explores not only various forms of intimacy but also ways of depicting it on the big screen, since, among others, the protagonists themselves film each other on their mobile phones. Appearing in the main roles are Matyáš Řezníček and Hana Vagnerová, who collaborated on the film’s story and script as well.",6.136
The Ritual,"Horror, Drama, Thriller","Dan Stevens, Abigail Cowen, Al Pacino",David Midell,"Two priests, one in crisis with his faith and the other confronting a turbulent past, must overcome their differences to perform a risky exorcism.",5.815
Heads of State,"Action, Thriller, Comedy","John Cena, Idris Elba, Priyanka Chopra Jonas",Ilya Naishuller,"The UK Prime Minister and US President have a public rivalry that risks their countries' alliance. But when they become targets of a powerful enemy, they're forced to rely on each other as they go on a wild, multinational run. Allied with Noel, a brilliant MI6 agent, they must find a way to thwart a conspiracy that threatens the free world.",6.934
Moana 2,"Animation, Adventure, Family, Comedy","Auliʻi Cravalho, Dwayne Johnson, Hualālai Chung","David G. Derrick Jr., Jason Hand, Dana Ledoux Miller","After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",7.049
Fate/stay night: Heaven's Feel III. Spring Song,"Animation, Romance, Fantasy, Action, Drama","Noriaki Sugiyama, Noriko Shitaya, Ayako Kawasumi",Tomonori Sudo,"As Sakura drowns in the murky darkness of the sins she has committed, Shirou's vow to protect her at all costs leads him into a raging battle to put an end to the Holy Grail War.  Will Shirou's wish reach Sakura even as he challenges fate itself in a desperate battle against the rising tide?",7.725
Cazadoras de Millonarios,Romance,"Isabel Burr, Alicia Machado, Verónica Montes",Héctor Rodríguez,,6.75
Almost Cops,"Action, Comedy, Crime, Mystery","Jandino Asporaat, Werner Kolf, Mark Rietman",Gonzalo Fernandez Carmona,"When an overeager community officer and a reckless ex-detective are forced to team up, plenty of chaos ensues on the streets of Rotterdam.",5.914
The Old Guard 2,"Action, Fantasy","Charlize Theron, KiKi Layne, Matthias Schoenaerts",Victoria Mahoney,Andy and her team of immortal warriors fight with renewed purpose as they face a powerful new foe threatening their mission to protect humanity.,6.022
Fixed,"Animation, Comedy","Adam Devine, Idris Elba, Kathryn Hahn",Genndy Tartakovsky,"After learning he's getting neutered, a dog has 24 hours to squeeze in one last balls-to-the-wall adventure with the boys.",6.5
Dangerous Animals,"Horror, Thriller","Hassie Harrison, Jai Courtney, Josh Heuston",Sean Byrne,"A savvy and free-spirited surfer is abducted by a shark-obsessed serial killer. Held captive on his boat, she must figure out how to escape before he carries out a ritualistic feeding to the sharks below.",6.469
Kaiju No. 8: Mission Recon,"Animation, Action, Science Fiction","Masaya Fukunishi, Wataru Katoh, Fairouz Ai","Shigeyuki Miya, Tomomi Kamiya","In a Kaiju-filled Japan, Kafka Hibino works in monster disposal. After reuniting with his childhood friend Mina Ashiro, a rising star in the anti-Kaiju Defense Force, he decides to pursue his abandoned dream of joining the Force, when he suddenly transforms into the powerful ""Kaiju No. 8."" An action-packed recap of the first season of Kaiju No. 8 and a new original episode, Hoshina's Day Off.",7.833
My Fault,"Romance, Drama","Nicole Wallace, Gabriel Guevara, Marta Hazas",Domingo González,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",7.786
Un Reino Para Todos Nosotros,"Animation, Adventure, Science Fiction",,Miguel Ángel Uriegas,"Fran and Serendín are brothers and live in the Gran Arrabal. They both dream of one day leaving their town and traveling to The Kingdom, a paradise on earth sheltered behind great walls.For that they will have to ride The Beast, a huge creature that merchants use to transport goods to The Kingdom. An unexpected situation complicates Fran and Serendín's plans, separating them.Sister and brother will embark on an adventure to meet again and at the same time find themselves, in a fantastic world divided by visible and invisible borders.",6.0
The Naked Gun,"Comedy, Crime, Action","Liam Neeson, Pamela Anderson, Paul Walter Hauser",Akiva Schaffer,Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr.,6.885
Angels Fallen: Warriors of Peace,"Horror, Action, Fantasy, Adventure","Josh Burdett, Arifin Putra, Cuba Gooding Jr.",Ali Zamani,"When an Iraq War veteran receives a calling from a higher power, he embarks on a mission to stop a fallen angel from raising an army of the dead to take over the world.",5.927
The Amateur,"Thriller, Action","Rami Malek, Holt McCallany, Danny Sapani",James Hawes,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.",6.996
Together,Horror,"Dave Franco, Alison Brie, Damon Herriman",Michael Shanks,"With a move to the countryside already testing the limits of a couple's relationship, a supernatural encounter begins an extreme transformation of their love, their lives, and their flesh.",7.356
Ligaw,"Drama, Romance","Robb Guinto, Ali Asistio, JC Tan",Omar Daroca,"A sultry woman who charms the hearts of men in a remote province. Dolores, a devoted wife to her paraplegic husband, falls for a young mountaineer. What begins as a reckless escape turns into an affair drenched in passion and secrecy.",6.3
Everyone Is Going to Die,"Horror, Thriller, Drama","Jaime Winstone, Brad Moore, Chiara D'Anna",Craig Tuohy,"On his daughter's birthday, a wealthy father's reconciliation attempt is hijacked by two female burglars. A shakedown evolves into a lethal cat-and-mouse as hidden motives emerge, culminating in a life-altering revelation.",5.346
Hook,Horror,"Kelly Rian Sanson, Stephen Staley, Charlotte Coleman",Andrea M. Catinella,"Driven by a hallucinogenic drug and a thirst for revenge, James Hook murders John Darling and loses his hand to Peter Pan. Eighteen years later, Wendy, now married to Peter, has a daughter, Lily. Lily discovers Hook is her biological father, leading her to a remote birthday retreat. Hook escapes prison and embarks on a killing spree, targeting Lily and her friends at the manor.",5.8
Elio,"Animation, Family, Comedy, Adventure, Science Fiction","Yonas Kibreab, Zoe Saldaña, Remy Edgerly","Madeline Sharafian, Domee Shi, Adrian Molina","Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.",6.8
Sonic the Hedgehog 3,"Action, Science Fiction, Comedy, Family","Jim Carrey, Ben Schwartz, Keanu Reeves",Jeff Fowler,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",7.678
Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Thriller","Tom Cruise, Hayley Atwell, Ving Rhames",Christopher McQuarrie,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",7.524
Captain America: Brave New World,"Action, Thriller, Science Fiction","Anthony Mackie, Harrison Ford, Danny Ramirez",Julius Onah,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",6.0
Snoopy Presents: A Summer Musical,"Animation, Family","Etienne Kellici, Hattie Kragten, Terry McGurrin",Erik Wiese,"Music and glee fill the air as Charlie Brown and the gang head off to summer camp. First-timer Sally doesn't get what all the hype is about. But when the camp may be forced to close, they team up to save it so more kids can make their own special memories.",8.222
Kiss and Kill,"Mystery, Thriller, Romance","Kira Noir, Eve Marlowe, Damian T. Raven",Dean McKendrick,"A reckless night of indiscretion and lust leads a woman into the dark world of blackmail and murder. When revealing photos of her sexual tryst unexpectedly surface, Katy is forced to submit to whatever her tormentors desire.",5.4
Inside Out 2,"Animation, Adventure, Comedy, Family","Amy Poehler, Maya Hawke, Kensington Tallman",Kelsey Mann,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",7.6
Sinners,"Horror, Action, Thriller","Michael B. Jordan, Hailee Steinfeld, Miles Caton",Ryan Coogler,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",7.5
Interstellar,"Adventure, Drama, Science Fiction","Matthew McConaughey, Anne Hathaway, Michael Caine",Christopher Nolan,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,8.5
Deadpool & Wolverine,"Action, Comedy, Science Fiction","Ryan Reynolds, Hugh Jackman, Emma Corrin",Shawn Levy,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",7.6
